X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class,Width,Height,Aspect_Ratio,BBox_Area,Center_X,Center_Y,BBox_Perimeter,Luminosity_Range,Avg_Luminosity,Luminosity_Density,Pixel_Density,Perimeter_Total,Perimeter_Efficiency,Area_Perimeter_Ratio,XY_Perimeter_Ratio,Compactness,Extent,Solidity,Size_Luminosity,Position_Score,Shape_Complexity,Steel_Size_A300,Steel_Size_A400
42,50,270900,270944,267,17,44,24220,76,108,1687,1,0,80,0.0498,0.2415,0.1818,0.0047,0.4706,1.0,1.0,2.4265,0.9031,1.6435,0.8182,-0.2913,0.5822,Pastry,8,44,0.17777777777777778,352,46.0,270922.0,104,32,90.3731343283582,68.61189801699717,0.7563739376770539,61,0.580952380952381,4.306451612903226,0.37777777777777777,0.9014564626635946,0.7563739376770539,0.7585,24129.626865671642,12.462412,3.0378,267,0
645,651,2538079,2538108,108,10,30,11397,84,123,1687,1,0,80,0.7647,0.3793,0.2069,0.0036,0.6,0.9667,1.0,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,Pastry,6,29,0.2,174,648.0,2538093.5,70,39,104.55963302752293,65.12571428571428,0.6171428571428571,40,0.5633802816901409,2.6341463414634148,0.3225806451612903,0.847700203841843,0.6171428571428571,0.6207,11292.440366972476,1644.684588,30.588,108,0
829,835,1553913,1553931,71,8,19,7972,99,125,1623,1,0,100,0.971,0.3426,0.3333,0.0037,0.75,0.9474,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,Pastry,6,18,0.3157894736842105,108,832.0,1553922.0,48,26,110.72222222222223,73.13761467889908,0.6513761467889908,27,0.5510204081632653,2.5357142857142856,0.4,1.2222086487938373,0.6513761467889908,0.6574,7861.277777777778,1292.863104,26.217,71,0
853,860,369370,369415,176,13,45,18996,99,126,1353,0,1,290,0.7287,0.4413,0.1556,0.0052,0.5385,1.0,1.0,2.2455,0.8451,1.6532,0.8444,-0.1568,0.5212,Pastry,7,45,0.15217391304347827,315,856.5,369392.5,104,27,107.32203389830508,60.11392405063291,0.5569620253164557,58,0.5523809523809524,2.983050847457627,0.2826086956521739,0.6572603946886223,0.5569620253164557,0.5587,18888.677966101695,316.38467625,42.2646,0,176
1289,1306,498078,498335,2409,60,260,246930,37,126,1353,0,1,185,0.0695,0.4486,0.0662,0.0126,0.2833,0.9885,1.0,3.3818,1.2305,2.4099,0.9338,-0.1992,1.0,Pastry,17,257,0.06589147286821706,4369,1297.5,498206.5,548,89,102.46058091286307,56.505720823798626,0.5512585812356979,320,0.5828779599271403,7.5046728971962615,0.22988505747126436,0.29562589046973414,0.5512585812356979,0.5514,246827.53941908712,646.42293375,22.240000000000002,0,2409
430,441,100250,100337,630,20,87,62357,64,127,1387,0,1,40,0.62,0.3417,0.1264,0.0079,0.55,1.0,1.0,2.7993,1.0414,1.9395,0.8736,-0.2267,0.9874,Pastry,11,87,0.125,957,435.5,100293.5,196,63,98.82250396196514,65.09081419624218,0.6576200417536534,107,0.5431472081218274,5.833333333333333,0.22727272727272727,0.6914247586939982,0.6576200417536534,0.6583,62258.177496038035,43.67781925,66.34,0,630
413,446,138468,138883,9052,230,432,1481991,23,199,1687,0,1,150,0.4896,0.339,0.0795,0.0196,0.1435,0.9607,1.0,3.9567,1.5185,2.6181,0.9205,0.2791,1.0,Pastry,33,415,0.07932692307692307,13695,429.5,138675.5,896,176,163.70164586324975,108.20611857476635,0.6609228971962616,662,0.738015607580825,13.653092006033182,0.5311778290993071,0.2595598051345235,0.6609228971962616,0.661,1481827.2983541368,59.56112725,324.11519999999996,0,9052
190,200,210936,210956,132,11,20,20007,124,172,1687,0,1,150,0.2253,0.34,0.5,0.0059,0.9091,1.0,1.0,2.1206,1.0,1.301,0.5,0.1841,0.3359,Pastry,10,20,0.47619047619047616,200,195.0,210946.0,60,48,150.42857142857142,99.53731343283582,0.6567164179104478,31,0.5081967213114754,4.125,0.5238095238095238,1.7242837017623813,0.6567164179104478,0.6599999999999999,19856.571428571428,41.13447,6.9843,0,132
330,343,429227,429253,264,15,26,29748,53,148,1687,0,1,150,0.3912,0.2189,0.5,0.0077,0.8667,1.0,1.0,2.4216,1.1139,1.415,0.5,-0.1197,0.5593,Pastry,13,26,0.48148148148148145,338,336.5,429240.0,78,95,112.2566037735849,87.75221238938053,0.7787610619469026,41,0.5189873417721519,6.285714285714286,0.5555555555555556,1.9723673259160652,0.7787610619469026,0.7811,29635.743396226415,144.43926,16.0392,0,264
74,90,779144,779308,1506,46,167,180215,53,143,1687,0,1,150,0.0877,0.4261,0.0976,0.0095,0.3478,0.982,1.0,3.1778,1.2041,2.2148,0.9024,-0.0651,1.0,Pastry,16,164,0.09696969696969697,2624,82.0,779226.0,360,90,119.58526874585269,68.65333333333334,0.5737142857142857,213,0.590027700831025,7.037383177570093,0.27380952380952384,0.41712484340367895,0.5737142857142857,0.5739000000000001,180095.41473125416,63.896532,18.6801,0,1506
