X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class,Aspect_Ratio,Perimeter_Ratio,Luminosity_Range,Avg_Luminosity,Compactness,Class_Encoded
42,50,270900,270944.0,267,17.0,44,24220.0,76,108,1687,1,0,80,0.0498,0.2415,0.1818,0.0047,0.4706,1.0,1.0,2.4265,0.9031,1.6435,0.8182,-0.2913,0.5822,Pastry,0.17777777777777778,0.37777777777777777,32,90.3731343283582,0.9206896551724137,4
645,651,2538079,2538108.0,108,10.0,30,11397.0,84,123,1687,1,0,80,0.7647,0.3793,0.2069,0.0036,0.6,0.9667,1.0,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,Pastry,0.2,0.3225806451612903,39,104.55963302752293,1.0693069306930694,4
829,835,1553913,1553931.0,71,8.0,19,7972.0,99,125,1623,1,0,100,0.971,0.3426,0.3333,0.0037,0.75,0.9474,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,Pastry,0.3157894736842105,0.4,26,110.72222222222223,1.0923076923076922,4
853,860,369370,369415.0,176,13.0,45,18996.0,99,126,1353,0,1,140,0.7287,0.4413,0.1556,0.0052,0.5385,1.0,1.0,2.2455,0.8451,1.6532,0.8444,-0.1568,0.5212,Pastry,0.15217391304347827,0.2826086956521739,27,107.32203389830508,1.035294117647059,4
1289,1306,498078,498335.0,1929,60.0,188,193244.5,37,126,1353,0,1,140,0.0695,0.4486,0.0662,0.0126,0.2833,0.9885,1.0,3.3818,1.2305,2.4099,0.9338,-0.1992,1.0,Pastry,0.06589147286821706,0.31746031746031744,89,100.12668393782383,0.5356845320744238,4
430,441,100250,100337.0,630,20.0,87,62357.0,64,127,1387,0,1,40,0.62,0.3417,0.1264,0.0079,0.55,1.0,1.0,2.7993,1.0414,1.9395,0.8736,-0.2267,0.9874,Pastry,0.125,0.22727272727272727,63,98.82250396196514,1.571072319201995,4
413,446,138468,138883.0,1929,187.5,188,193244.5,23,164,1687,0,1,140,0.4896,0.339,0.0795,0.0196,0.1435,0.9607,1.0,3.9567,1.5185,2.6181,0.9205,0.126,1.0,Pastry,0.07932692307692307,0.9920634920634921,141,100.12668393782383,0.0548677726500224,4
190,200,210936,210956.0,132,11.0,20,20007.0,124,164,1687,0,1,140,0.2253,0.34,0.5,0.0059,0.9091,1.0,1.0,2.1206,1.0,1.301,0.5,0.126,0.3359,Pastry,0.47619047619047616,0.5238095238095238,40,150.42857142857142,1.0819672131147542,4
330,343,429227,429253.0,264,15.0,26,29748.0,53,148,1687,0,1,140,0.3912,0.2189,0.5,0.0077,0.8667,1.0,1.0,2.4216,1.1139,1.415,0.5,-0.1197,0.5593,Pastry,0.48148148148148145,0.5555555555555556,95,112.2566037735849,1.168141592920354,4
74,90,779144,779308.0,1506,46.0,167,180215.0,53,143,1687,0,1,140,0.0877,0.4261,0.0976,0.0095,0.3478,0.982,1.0,3.1778,1.2041,2.2148,0.9024,-0.0651,1.0,Pastry,0.09696969696969697,0.27380952380952384,90,119.58526874585269,0.7113840340103921,4
106,118,813452,813500.0,442,13.0,48,50393.0,76,143,1687,0,1,140,0.1257,0.2326,0.25,0.0071,0.9231,1.0,1.0,2.6454,1.0792,1.6812,0.75,-0.1093,0.8612,Pastry,0.24489795918367346,0.2653061224489796,67,113.75395033860045,2.6,4
505,515,106604,106668.0,284,42.0,69,31062.0,97,119,1687,0,1,140,0.5987,0.5562,0.1563,0.0059,0.2381,0.9275,1.0,2.4533,1.0,1.8062,0.8438,-0.1455,0.9048,Pastry,0.15384615384615385,0.6,22,108.98947368421052,0.16090651558073654,4
46,58,179258,179312.0,480,15.0,54,61966.0,102,158,1687,0,1,140,0.0545,0.2593,0.2222,0.0071,0.8,1.0,1.0,2.6812,1.0792,1.7324,0.7778,0.0086,0.9093,Pastry,0.21818181818181817,0.2727272727272727,56,128.82744282744284,2.1238938053097347,4
581,590,230644,230704.0,433,22.0,60,38917.0,62,111,1687,0,1,140,0.6888,0.1981,0.15,0.0053,0.4091,1.0,1.0,2.6365,0.9542,1.7781,0.85,-0.2978,0.8299,Pastry,0.14754098360655737,0.36065573770491804,49,89.67050691244239,0.8927835051546392,4
451,466,368143,368208.0,728,30.0,68,69258.0,36,133,1687,0,1,140,0.5347,0.2533,0.2308,0.0089,0.5,0.9559,1.0,2.8621,1.1761,1.8129,0.7692,-0.2568,0.9888,Pastry,0.22727272727272727,0.43478260869565216,97,95.00411522633745,0.8079911209766926,4
669,684,491552,491684.0,1097,59.0,133,119540.0,50,134,1687,0,1,140,0.7931,0.446,0.1136,0.0089,0.2542,0.9925,1.0,3.0402,1.1761,2.1206,0.8864,-0.1487,1.0,Pastry,0.11278195488721804,0.44029850746268656,84,108.87067395264117,0.3150488225157955,4
156,192,713788,714056.0,1929,167.0,188,193244.5,11,143,1687,0,1,140,0.1849,0.4772,0.1343,0.0213,0.2156,0.9503,1.0,3.7028,1.5563,2.4281,0.8657,-0.1157,1.0,Pastry,0.13382899628252787,0.8835978835978836,132,100.12668393782383,0.06916457511652922,4
90,104,751059,751132.0,552,38.0,76,59750.0,79,134,1687,0,1,140,0.1067,0.4599,0.1918,0.0083,0.3684,0.9605,1.0,2.7419,1.1461,1.8633,0.8082,-0.1543,0.9918,Pastry,0.1891891891891892,0.4935064935064935,55,108.04701627486438,0.38200692041522494,4
